distance_mm,duration_micros,dest,origin,origin_key,origin_x,origin_y,origin_z,origin_r,dest_key,dest_x,dest_y,dest_z,dest_r,comment
56,56,"[143, -124, -20, -41]","[195.0, 3.0, -20.0, 1.0]",home,195.0,3.0,-20.0,1.0,bottom_right,143,-124,-20,-41,block in top right quadrant
55,55,"[143, -124, -20, -41]","[195.0, 3.0, -20.0, 1.0]",home,195.0,3.0,-20.0,1.0,bottom_right,143,-124,-20,-41,block in top right quadrant
55,55,"[143, -124, -20, -41]","[195.0, 3.0, -20.0, 1.0]",home,195.0,3.0,-20.0,1.0,bottom_right,143,-124,-20,-41,block in top right quadrant
56,56,"[143, -124, -20, -41]","[195.0, 3.0, -20.0, 1.0]",home,195.0,3.0,-20.0,1.0,bottom_right,143,-124,-20,-41,block in top right quadrant
56,56,"[143, -124, -20, -41]","[195.0, 3.0, -20.0, 1.0]",home,195.0,3.0,-20.0,1.0,bottom_right,143,-124,-20,-41,block in top right quadrant
56,56,"[143, -124, -20, -41]","[195.0, 3.0, -20.0, 1.0]",home,195.0,3.0,-20.0,1.0,bottom_right,143,-124,-20,-41,block in top right quadrant
56,56,"[143, -124, -20, -41]","[195.0, 3.0, -20.0, 1.0]",home,195.0,3.0,-20.0,1.0,bottom_right,143,-124,-20,-41,block in top right quadrant
55,55,"[143, -124, -20, -41]","[195.0, 3.0, -20.0, 1.0]",home,195.0,3.0,-20.0,1.0,bottom_right,143,-124,-20,-41,block in top right quadrant
55,55,"[143, -124, -20, -41]","[195.0, 3.0, -20.0, 1.0]",home,195.0,3.0,-20.0,1.0,bottom_right,143,-124,-20,-41,block in top right quadrant
56,56,"[143, -124, -20, -41]","[195.0, 3.0, -20.0, 1.0]",home,195.0,3.0,-20.0,1.0,bottom_right,143,-124,-20,-41,block in top right quadrant
56,56,"[143, -124, -20, -41]","[195.0, 3.0, -20.0, 1.0]",home,195.0,3.0,-20.0,1.0,bottom_right,143,-124,-20,-41,block in top right quadrant
56,56,"[143, -124, -20, -41]","[195.0, 3.0, -20.0, 1.0]",home,195.0,3.0,-20.0,1.0,bottom_right,143,-124,-20,-41,block in top right quadrant
56,56,"[143, -124, -20, -41]","[195.0, 3.0, -20.0, 1.0]",home,195.0,3.0,-20.0,1.0,bottom_right,143,-124,-20,-41,block in top right quadrant
55,55,"[143, -124, -20, -41]","[195.0, 3.0, -20.0, 1.0]",home,195.0,3.0,-20.0,1.0,bottom_right,143,-124,-20,-41,block in top right quadrant
55,55,"[143, -124, -20, -41]","[195.0, 3.0, -20.0, 1.0]",home,195.0,3.0,-20.0,1.0,bottom_right,143,-124,-20,-41,block in top right quadrant
56,56,"[143, -124, -20, -41]","[195.0, 3.0, -20.0, 1.0]",home,195.0,3.0,-20.0,1.0,bottom_right,143,-124,-20,-41,block in top right quadrant
56,56,"[143, -124, -20, -41]","[195.0, 3.0, -20.0, 1.0]",home,195.0,3.0,-20.0,1.0,bottom_right,143,-124,-20,-41,block in top right quadrant
56,56,"[143, -124, -20, -41]","[195.0, 3.0, -20.0, 1.0]",home,195.0,3.0,-20.0,1.0,bottom_right,143,-124,-20,-41,block in top right quadrant
56,56,"[143, -124, -20, -41]","[195.0, 3.0, -20.0, 1.0]",home,195.0,3.0,-20.0,1.0,bottom_right,143,-124,-20,-41,block in top right quadrant
55,55,"[268, 149, -20, 29]","[143, -124, -20, -41]",bottom_right,143.0,-124.0,-20.0,-41.0,top_left,268,149,-20,29,block in top right quadrant
56,56,"[268, 149, -20, 29]","[143, -124, -20, -41]",bottom_right,143.0,-124.0,-20.0,-41.0,top_left,268,149,-20,29,block in top right quadrant
56,56,"[268, 149, -20, 29]","[143, -124, -20, -41]",bottom_right,143.0,-124.0,-20.0,-41.0,top_left,268,149,-20,29,block in top right quadrant
56,56,"[268, 149, -20, 29]","[143, -124, -20, -41]",bottom_right,143.0,-124.0,-20.0,-41.0,top_left,268,149,-20,29,block in top right quadrant
56,56,"[268, 149, -20, 29]","[143, -124, -20, -41]",bottom_right,143.0,-124.0,-20.0,-41.0,top_left,268,149,-20,29,block in top right quadrant
55,55,"[268, 149, -20, 29]","[143, -124, -20, -41]",bottom_right,143.0,-124.0,-20.0,-41.0,top_left,268,149,-20,29,block in top right quadrant
55,55,"[268, 149, -20, 29]","[143, -124, -20, -41]",bottom_right,143.0,-124.0,-20.0,-41.0,top_left,268,149,-20,29,block in top right quadrant
56,56,"[268, 149, -20, 29]","[143, -124, -20, -41]",bottom_right,143.0,-124.0,-20.0,-41.0,top_left,268,149,-20,29,block in top right quadrant
56,56,"[268, 149, -20, 29]","[143, -124, -20, -41]",bottom_right,143.0,-124.0,-20.0,-41.0,top_left,268,149,-20,29,block in top right quadrant
56,56,"[268, 149, -20, 29]","[143, -124, -20, -41]",bottom_right,143.0,-124.0,-20.0,-41.0,top_left,268,149,-20,29,block in top right quadrant
56,56,"[268, 149, -20, 29]","[143, -124, -20, -41]",bottom_right,143.0,-124.0,-20.0,-41.0,top_left,268,149,-20,29,block in top right quadrant
55,55,"[268, 149, -20, 29]","[143, -124, -20, -41]",bottom_right,143.0,-124.0,-20.0,-41.0,top_left,268,149,-20,29,block in top right quadrant
55,55,"[268, 149, -20, 29]","[143, -124, -20, -41]",bottom_right,143.0,-124.0,-20.0,-41.0,top_left,268,149,-20,29,block in top right quadrant
56,56,"[268, 149, -20, 29]","[143, -124, -20, -41]",bottom_right,143.0,-124.0,-20.0,-41.0,top_left,268,149,-20,29,block in top right quadrant
56,56,"[268, 149, -20, 29]","[143, -124, -20, -41]",bottom_right,143.0,-124.0,-20.0,-41.0,top_left,268,149,-20,29,block in top right quadrant
56,56,"[268, 149, -20, 29]","[143, -124, -20, -41]",bottom_right,143.0,-124.0,-20.0,-41.0,top_left,268,149,-20,29,block in top right quadrant
56,56,"[268, 149, -20, 29]","[143, -124, -20, -41]",bottom_right,143.0,-124.0,-20.0,-41.0,top_left,268,149,-20,29,block in top right quadrant
55,55,"[268, 149, -20, 29]","[143, -124, -20, -41]",bottom_right,143.0,-124.0,-20.0,-41.0,top_left,268,149,-20,29,block in top right quadrant
56,56,"[268, 149, -20, 29]","[143, -124, -20, -41]",bottom_right,143.0,-124.0,-20.0,-41.0,top_left,268,149,-20,29,block in top right quadrant
57,57,"[268, 149, -20, 29]","[143, -124, -20, -41]",bottom_right,143.0,-124.0,-20.0,-41.0,top_left,268,149,-20,29,block in top right quadrant
56,56,"[268, 149, -20, 29]","[143, -124, -20, -41]",bottom_right,143.0,-124.0,-20.0,-41.0,top_left,268,149,-20,29,block in top right quadrant
56,56,"[268, 149, -20, 29]","[143, -124, -20, -41]",bottom_right,143.0,-124.0,-20.0,-41.0,top_left,268,149,-20,29,block in top right quadrant
56,56,"[268, 149, -20, 29]","[143, -124, -20, -41]",bottom_right,143.0,-124.0,-20.0,-41.0,top_left,268,149,-20,29,block in top right quadrant
55,55,"[268, 149, -20, 29]","[143, -124, -20, -41]",bottom_right,143.0,-124.0,-20.0,-41.0,top_left,268,149,-20,29,block in top right quadrant
56,56,"[268, 149, -20, 29]","[143, -124, -20, -41]",bottom_right,143.0,-124.0,-20.0,-41.0,top_left,268,149,-20,29,block in top right quadrant
56,56,"[268, 149, -20, 29]","[143, -124, -20, -41]",bottom_right,143.0,-124.0,-20.0,-41.0,top_left,268,149,-20,29,block in top right quadrant
56,56,"[268, 149, -20, 29]","[143, -124, -20, -41]",bottom_right,143.0,-124.0,-20.0,-41.0,top_left,268,149,-20,29,block in top right quadrant
56,56,"[268, 149, -20, 29]","[143, -124, -20, -41]",bottom_right,143.0,-124.0,-20.0,-41.0,top_left,268,149,-20,29,block in top right quadrant
55,55,"[268, 149, -20, 29]","[143, -124, -20, -41]",bottom_right,143.0,-124.0,-20.0,-41.0,top_left,268,149,-20,29,block in top right quadrant
55,55,"[268, 149, -20, 29]","[143, -124, -20, -41]",bottom_right,143.0,-124.0,-20.0,-41.0,top_left,268,149,-20,29,block in top right quadrant
56,56,"[268, 149, -20, 29]","[143, -124, -20, -41]",bottom_right,143.0,-124.0,-20.0,-41.0,top_left,268,149,-20,29,block in top right quadrant
56,56,"[268, 149, -20, 29]","[143, -124, -20, -41]",bottom_right,143.0,-124.0,-20.0,-41.0,top_left,268,149,-20,29,block in top right quadrant
56,56,"[268, 149, -20, 29]","[143, -124, -20, -41]",bottom_right,143.0,-124.0,-20.0,-41.0,top_left,268,149,-20,29,block in top right quadrant
56,56,"[268, 149, -20, 29]","[143, -124, -20, -41]",bottom_right,143.0,-124.0,-20.0,-41.0,top_left,268,149,-20,29,block in top right quadrant
55,55,"[268, 149, -20, 29]","[143, -124, -20, -41]",bottom_right,143.0,-124.0,-20.0,-41.0,top_left,268,149,-20,29,block in top right quadrant
55,55,"[268, 149, -20, 29]","[143, -124, -20, -41]",bottom_right,143.0,-124.0,-20.0,-41.0,top_left,268,149,-20,29,block in top right quadrant
56,56,"[268, 149, -20, 29]","[143, -124, -20, -41]",bottom_right,143.0,-124.0,-20.0,-41.0,top_left,268,149,-20,29,block in top right quadrant
56,56,"[268, 149, -20, 29]","[143, -124, -20, -41]",bottom_right,143.0,-124.0,-20.0,-41.0,top_left,268,149,-20,29,block in top right quadrant
56,56,"[268, 149, -20, 29]","[143, -124, -20, -41]",bottom_right,143.0,-124.0,-20.0,-41.0,top_left,268,149,-20,29,block in top right quadrant
56,56,"[268, 149, -20, 29]","[143, -124, -20, -41]",bottom_right,143.0,-124.0,-20.0,-41.0,top_left,268,149,-20,29,block in top right quadrant
55,55,"[268, 149, -20, 29]","[143, -124, -20, -41]",bottom_right,143.0,-124.0,-20.0,-41.0,top_left,268,149,-20,29,block in top right quadrant
55,55,"[268, 149, -20, 29]","[143, -124, -20, -41]",bottom_right,143.0,-124.0,-20.0,-41.0,top_left,268,149,-20,29,block in top right quadrant
56,56,"[268, 149, -20, 29]","[143, -124, -20, -41]",bottom_right,143.0,-124.0,-20.0,-41.0,top_left,268,149,-20,29,block in top right quadrant
56,56,"[268, 149, -20, 29]","[143, -124, -20, -41]",bottom_right,143.0,-124.0,-20.0,-41.0,top_left,268,149,-20,29,block in top right quadrant
56,56,"[268, 149, -20, 29]","[143, -124, -20, -41]",bottom_right,143.0,-124.0,-20.0,-41.0,top_left,268,149,-20,29,block in top right quadrant
56,56,"[268, 149, -20, 29]","[143, -124, -20, -41]",bottom_right,143.0,-124.0,-20.0,-41.0,top_left,268,149,-20,29,block in top right quadrant
55,55,"[268, 149, -20, 29]","[143, -124, -20, -41]",bottom_right,143.0,-124.0,-20.0,-41.0,top_left,268,149,-20,29,block in top right quadrant
55,55,"[268, 149, -20, 29]","[143, -124, -20, -41]",bottom_right,143.0,-124.0,-20.0,-41.0,top_left,268,149,-20,29,block in top right quadrant
56,56,"[268, 149, -20, 29]","[143, -124, -20, -41]",bottom_right,143.0,-124.0,-20.0,-41.0,top_left,268,149,-20,29,block in top right quadrant
56,56,"[268, 149, -20, 29]","[143, -124, -20, -41]",bottom_right,143.0,-124.0,-20.0,-41.0,top_left,268,149,-20,29,block in top right quadrant
56,56,"[268, 149, -20, 29]","[143, -124, -20, -41]",bottom_right,143.0,-124.0,-20.0,-41.0,top_left,268,149,-20,29,block in top right quadrant
56,56,"[268, 149, -20, 29]","[143, -124, -20, -41]",bottom_right,143.0,-124.0,-20.0,-41.0,top_left,268,149,-20,29,block in top right quadrant
55,55,"[268, 149, -20, 29]","[143, -124, -20, -41]",bottom_right,143.0,-124.0,-20.0,-41.0,top_left,268,149,-20,29,block in top right quadrant
55,55,"[268, 149, -20, 29]","[143, -124, -20, -41]",bottom_right,143.0,-124.0,-20.0,-41.0,top_left,268,149,-20,29,block in top right quadrant
56,56,"[268, 149, -20, 29]","[143, -124, -20, -41]",bottom_right,143.0,-124.0,-20.0,-41.0,top_left,268,149,-20,29,block in top right quadrant
56,56,"[268, 149, -20, 29]","[143, -124, -20, -41]",bottom_right,143.0,-124.0,-20.0,-41.0,top_left,268,149,-20,29,block in top right quadrant
56,56,"[268, 149, -20, 29]","[143, -124, -20, -41]",bottom_right,143.0,-124.0,-20.0,-41.0,top_left,268,149,-20,29,block in top right quadrant
56,56,"[268, 149, -20, 29]","[143, -124, -20, -41]",bottom_right,143.0,-124.0,-20.0,-41.0,top_left,268,149,-20,29,block in top right quadrant
55,55,"[268, 149, -20, 29]","[143, -124, -20, -41]",bottom_right,143.0,-124.0,-20.0,-41.0,top_left,268,149,-20,29,block in top right quadrant
55,55,"[268, 149, -20, 29]","[143, -124, -20, -41]",bottom_right,143.0,-124.0,-20.0,-41.0,top_left,268,149,-20,29,block in top right quadrant
56,56,"[268, 149, -20, 29]","[143, -124, -20, -41]",bottom_right,143.0,-124.0,-20.0,-41.0,top_left,268,149,-20,29,block in top right quadrant
56,56,"[268, 149, -20, 29]","[143, -124, -20, -41]",bottom_right,143.0,-124.0,-20.0,-41.0,top_left,268,149,-20,29,block in top right quadrant
56,56,"[268, 149, -20, 29]","[143, -124, -20, -41]",bottom_right,143.0,-124.0,-20.0,-41.0,top_left,268,149,-20,29,block in top right quadrant
56,56,"[268, 149, -20, 29]","[143, -124, -20, -41]",bottom_right,143.0,-124.0,-20.0,-41.0,top_left,268,149,-20,29,block in top right quadrant
55,55,"[268, 149, -20, 29]","[143, -124, -20, -41]",bottom_right,143.0,-124.0,-20.0,-41.0,top_left,268,149,-20,29,block in top right quadrant
55,55,"[268, 149, -20, 29]","[143, -124, -20, -41]",bottom_right,143.0,-124.0,-20.0,-41.0,top_left,268,149,-20,29,block in top right quadrant
56,56,"[268, 149, -20, 29]","[143, -124, -20, -41]",bottom_right,143.0,-124.0,-20.0,-41.0,top_left,268,149,-20,29,block in top right quadrant
56,56,"[268, 149, -20, 29]","[143, -124, -20, -41]",bottom_right,143.0,-124.0,-20.0,-41.0,top_left,268,149,-20,29,block in top right quadrant
56,56,"[268, 149, -20, 29]","[143, -124, -20, -41]",bottom_right,143.0,-124.0,-20.0,-41.0,top_left,268,149,-20,29,block in top right quadrant
56,56,"[268, 149, -20, 29]","[143, -124, -20, -41]",bottom_right,143.0,-124.0,-20.0,-41.0,top_left,268,149,-20,29,block in top right quadrant
55,55,"[268, 149, -20, 29]","[143, -124, -20, -41]",bottom_right,143.0,-124.0,-20.0,-41.0,top_left,268,149,-20,29,block in top right quadrant
56,56,"[268, 149, -20, 29]","[143, -124, -20, -41]",bottom_right,143.0,-124.0,-20.0,-41.0,top_left,268,149,-20,29,block in top right quadrant
56,56,"[268, 149, -20, 29]","[143, -124, -20, -41]",bottom_right,143.0,-124.0,-20.0,-41.0,top_left,268,149,-20,29,block in top right quadrant
56,56,"[268, 149, -20, 29]","[143, -124, -20, -41]",bottom_right,143.0,-124.0,-20.0,-41.0,top_left,268,149,-20,29,block in top right quadrant
56,56,"[268, 149, -20, 29]","[143, -124, -20, -41]",bottom_right,143.0,-124.0,-20.0,-41.0,top_left,268,149,-20,29,block in top right quadrant
55,55,"[268, 149, -20, 29]","[143, -124, -20, -41]",bottom_right,143.0,-124.0,-20.0,-41.0,top_left,268,149,-20,29,block in top right quadrant
55,55,"[268, 149, -20, 29]","[143, -124, -20, -41]",bottom_right,143.0,-124.0,-20.0,-41.0,top_left,268,149,-20,29,block in top right quadrant
56,56,"[268, 149, -20, 29]","[143, -124, -20, -41]",bottom_right,143.0,-124.0,-20.0,-41.0,top_left,268,149,-20,29,block in top right quadrant
56,56,"[134, 150, -20, 49]","[268, 149, -20, 29]",top_left,268.0,149.0,-20.0,29.0,bottom_left,134,150,-20,49,block in top right quadrant
56,56,"[134, 150, -20, 49]","[268, 149, -20, 29]",top_left,268.0,149.0,-20.0,29.0,bottom_left,134,150,-20,49,block in top right quadrant
55,55,"[134, 150, -20, 49]","[268, 149, -20, 29]",top_left,268.0,149.0,-20.0,29.0,bottom_left,134,150,-20,49,block in top right quadrant
55,55,"[134, 150, -20, 49]","[268, 149, -20, 29]",top_left,268.0,149.0,-20.0,29.0,bottom_left,134,150,-20,49,block in top right quadrant
56,56,"[134, 150, -20, 49]","[268, 149, -20, 29]",top_left,268.0,149.0,-20.0,29.0,bottom_left,134,150,-20,49,block in top right quadrant
56,56,"[134, 150, -20, 49]","[268, 149, -20, 29]",top_left,268.0,149.0,-20.0,29.0,bottom_left,134,150,-20,49,block in top right quadrant
56,56,"[134, 150, -20, 49]","[268, 149, -20, 29]",top_left,268.0,149.0,-20.0,29.0,bottom_left,134,150,-20,49,block in top right quadrant
56,56,"[134, 150, -20, 49]","[268, 149, -20, 29]",top_left,268.0,149.0,-20.0,29.0,bottom_left,134,150,-20,49,block in top right quadrant
55,55,"[134, 150, -20, 49]","[268, 149, -20, 29]",top_left,268.0,149.0,-20.0,29.0,bottom_left,134,150,-20,49,block in top right quadrant
55,55,"[134, 150, -20, 49]","[268, 149, -20, 29]",top_left,268.0,149.0,-20.0,29.0,bottom_left,134,150,-20,49,block in top right quadrant
56,56,"[134, 150, -20, 49]","[268, 149, -20, 29]",top_left,268.0,149.0,-20.0,29.0,bottom_left,134,150,-20,49,block in top right quadrant
56,56,"[134, 150, -20, 49]","[268, 149, -20, 29]",top_left,268.0,149.0,-20.0,29.0,bottom_left,134,150,-20,49,block in top right quadrant
56,56,"[134, 150, -20, 49]","[268, 149, -20, 29]",top_left,268.0,149.0,-20.0,29.0,bottom_left,134,150,-20,49,block in top right quadrant
56,56,"[134, 150, -20, 49]","[268, 149, -20, 29]",top_left,268.0,149.0,-20.0,29.0,bottom_left,134,150,-20,49,block in top right quadrant
55,55,"[134, 150, -20, 49]","[268, 149, -20, 29]",top_left,268.0,149.0,-20.0,29.0,bottom_left,134,150,-20,49,block in top right quadrant
55,55,"[134, 150, -20, 49]","[268, 149, -20, 29]",top_left,268.0,149.0,-20.0,29.0,bottom_left,134,150,-20,49,block in top right quadrant
56,56,"[134, 150, -20, 49]","[268, 149, -20, 29]",top_left,268.0,149.0,-20.0,29.0,bottom_left,134,150,-20,49,block in top right quadrant
56,56,"[134, 150, -20, 49]","[268, 149, -20, 29]",top_left,268.0,149.0,-20.0,29.0,bottom_left,134,150,-20,49,block in top right quadrant
56,56,"[134, 150, -20, 49]","[268, 149, -20, 29]",top_left,268.0,149.0,-20.0,29.0,bottom_left,134,150,-20,49,block in top right quadrant
56,56,"[134, 150, -20, 49]","[268, 149, -20, 29]",top_left,268.0,149.0,-20.0,29.0,bottom_left,134,150,-20,49,block in top right quadrant
