distance_mm,duration_micros,dest,origin,origin_key,origin_x,origin_y,origin_z,origin_r,dest_key,dest_x,dest_y,dest_z,dest_r
100,583,"[197, 151, -20, 37]","[206, -129, -20, -32]",right_middle,206,-129,-20,-32,left_middle,197,151,-20,37
100,583,"[197, 151, -20, 37]","[206, -129, -20, -32]",right_middle,206,-129,-20,-32,left_middle,197,151,-20,37
101,589,"[197, 151, -20, 37]","[206, -129, -20, -32]",right_middle,206,-129,-20,-32,left_middle,197,151,-20,37
92,537,"[197, 151, -20, 37]","[206, -129, -20, -32]",right_middle,206,-129,-20,-32,left_middle,197,151,-20,37
92,537,"[197, 151, -20, 37]","[206, -129, -20, -32]",right_middle,206,-129,-20,-32,left_middle,197,151,-20,37
101,589,"[197, 151, -20, 37]","[206, -129, -20, -32]",right_middle,206,-129,-20,-32,left_middle,197,151,-20,37
92,538,"[197, 151, -20, 37]","[206, -129, -20, -32]",right_middle,206,-129,-20,-32,left_middle,197,151,-20,37
92,538,"[197, 151, -20, 37]","[206, -129, -20, -32]",right_middle,206,-129,-20,-32,left_middle,197,151,-20,37
100,583,"[197, 151, -20, 37]","[206, -129, -20, -32]",right_middle,206,-129,-20,-32,left_middle,197,151,-20,37
91,531,"[197, 151, -20, 37]","[206, -129, -20, -32]",right_middle,206,-129,-20,-32,left_middle,197,151,-20,37
91,532,"[197, 151, -20, 37]","[206, -129, -20, -32]",right_middle,206,-129,-20,-32,left_middle,197,151,-20,37
100,583,"[197, 151, -20, 37]","[206, -129, -20, -32]",right_middle,206,-129,-20,-32,left_middle,197,151,-20,37
100,583,"[197, 151, -20, 37]","[206, -129, -20, -32]",right_middle,206,-129,-20,-32,left_middle,197,151,-20,37
91,531,"[197, 151, -20, 37]","[206, -129, -20, -32]",right_middle,206,-129,-20,-32,left_middle,197,151,-20,37
91,531,"[197, 151, -20, 37]","[206, -129, -20, -32]",right_middle,206,-129,-20,-32,left_middle,197,151,-20,37
91,533,"[197, 151, -20, 37]","[206, -129, -20, -32]",right_middle,206,-129,-20,-32,left_middle,197,151,-20,37
92,537,"[197, 151, -20, 37]","[206, -129, -20, -32]",right_middle,206,-129,-20,-32,left_middle,197,151,-20,37
92,537,"[197, 151, -20, 37]","[206, -129, -20, -32]",right_middle,206,-129,-20,-32,left_middle,197,151,-20,37
92,537,"[197, 151, -20, 37]","[206, -129, -20, -32]",right_middle,206,-129,-20,-32,left_middle,197,151,-20,37
92,537,"[197, 151, -20, 37]","[206, -129, -20, -32]",right_middle,206,-129,-20,-32,left_middle,197,151,-20,37
101,589,"[197, 151, -20, 37]","[206, -129, -20, -32]",right_middle,206,-129,-20,-32,left_middle,197,151,-20,37
101,589,"[197, 151, -20, 37]","[206, -129, -20, -32]",right_middle,206,-129,-20,-32,left_middle,197,151,-20,37
92,537,"[197, 151, -20, 37]","[206, -129, -20, -32]",right_middle,206,-129,-20,-32,left_middle,197,151,-20,37
100,583,"[197, 151, -20, 37]","[206, -129, -20, -32]",right_middle,206,-129,-20,-32,left_middle,197,151,-20,37
100,583,"[197, 151, -20, 37]","[206, -129, -20, -32]",right_middle,206,-129,-20,-32,left_middle,197,151,-20,37
91,532,"[197, 151, -20, 37]","[206, -129, -20, -32]",right_middle,206,-129,-20,-32,left_middle,197,151,-20,37
100,583,"[197, 151, -20, 37]","[206, -129, -20, -32]",right_middle,206,-129,-20,-32,left_middle,197,151,-20,37
